Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
fui	AUX	1	2	12	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
assaltada	VERB	1	2	13	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
em	ADP	0	2	14	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
marco	NOUN	0	2	15	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
pq	CCONJ	1	2	16	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
n	PROPN	0	2	17	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
tinha	VERB	0	2	18	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
essa	DET	0	2	19	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
maldade	NOUN	1	2	20	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
inves	VERB	0	2	21	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
de	SCONJ	0	2	22	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
ficar	VERB	0	2	23	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
na	ADP	0	2	24	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
praca	NOUN	1	2	25	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
de	ADP	0	2	26	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
alimentacao	NOUN	1	2	27	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
la	PROPN	0	2	28	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
nao	PROPN	1	2	29	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
tem	VERB	0	2	30	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
controle	NOUN	0	2	31	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
de	SCONJ	0	2	32	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
quem	PRON	0	2	33	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
vai	AUX	0	2	34	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
embarcar	VERB	1	2	35	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
ou	CCONJ	0	2	36	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
nao	PROPN	1	2	37	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
so	PROPN	0	2	38	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
vao	VERB	1	2	39	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
para	ADP	0	2	40	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
o	DET	0	2	41	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
acesso	NOUN	0	2	42	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
de	ADP	0	2	43	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
embarque	NOUN	1	2	44	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
uns	DET	0	2	45	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
15	NUM	0	2	46	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
min	NOUN	0	2	47	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
que	PRON	0	2	48	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
ja	PROPN	0	2	49	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
tera	VERB	0	2	50	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
fila	NOUN	1	2	51	0	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
1	['ADP', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'VERB', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADV', 'AUX', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'PROPN', 'VERB', 'DET', 'NOUN', 'VERB', 'SCONJ', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'PROPN', 'VERB', 'NOUN', 'SCONJ', 'PRON', 'AUX', 'VERB', 'CCONJ', 'PROPN', 'PROPN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'DET', 'NUM', 'NOUN', 'PRON', 'PROPN', 'VERB', 'NOUN']	[0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]	2	1	1	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
eu	PRON	0	3	0	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
espero	VERB	1	3	1	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
que	SCONJ	0	3	2	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
a	DET	0	3	3	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
policia	NOUN	1	3	4	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
esteja	AUX	0	3	5	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
treinada	ADJ	1	3	6	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
para	SCONJ	0	3	7	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
identificar	VERB	0	3	8	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
quando	ADV	0	3	9	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
a	DET	0	3	10	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
pessoa	NOUN	0	3	11	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
esta	PRON	0	3	12	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
realmente	ADV	0	3	13	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
armada	VERB	0	3	14	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
ou	CCONJ	0	3	15	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
nao	VERB	1	3	16	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
assim	ADV	0	3	17	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
como	SCONJ	0	3	18	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
tenha	VERB	0	3	19	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
meios	NOUN	0	3	20	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
de	ADP	0	3	21	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
defesa	NOUN	0	3	22	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
nao	NOUN	1	3	23	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
letais	ADJ	1	3	24	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
para	ADP	0	3	25	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
casos	NOUN	0	3	26	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
de	ADP	0	3	27	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
incidentes	NOUN	0	3	28	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
visto	VERB	0	3	29	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
que	SCONJ	0	3	30	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
nos	ADP	0	3	31	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
eua	PROPN	1	3	32	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
o	DET	0	3	33	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
numero	NOUN	1	3	34	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
de	ADP	0	3	35	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
pessoas	NOUN	0	3	36	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
com	ADP	0	3	37	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
problemas	NOUN	0	3	38	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
mentais	ADJ	0	3	39	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
em	ADP	0	3	40	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
situacao	NOUN	1	3	41	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
de	ADP	0	3	42	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
rua	NOUN	0	3	43	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
e	CCONJ	0	3	44	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
grande	ADJ	0	3	45	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
2	['PRON', 'VERB', 'SCONJ', 'DET', 'NOUN', 'AUX', 'ADJ', 'SCONJ', 'VERB', 'ADV', 'DET', 'NOUN', 'PRON', 'ADV', 'VERB', 'CCONJ', 'VERB', 'ADV', 'SCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'SCONJ', 'ADP', 'PROPN', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADJ']	[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	3	2	1	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
assaltaram	VERB	1	4	0	0	assaltaram duas casas aqui na minha rua e agora eu to com medinho
duas	NUM	0	4	1	0	assaltaram duas casas aqui na minha rua e agora eu to com medinho
casas	NOUN	0	4	2	0	assaltaram duas casas aqui na minha rua e agora eu to com medinho
aqui	ADV	0	4	3	0	assaltaram duas casas aqui na minha rua e agora eu to com medinho
na	ADP	0	4	4	0	assaltaram duas casas aqui na minha rua e agora eu to com medinho
minha	DET	0	4	5	0	assaltaram duas casas aqui na minha rua e agora eu to com medinho
rua	NOUN	0	4	6	0	assaltaram duas casas aqui na minha rua e agora eu to com medinho
e	CCONJ	0	4	7	0	assaltaram duas casas aqui na minha rua e agora eu to com medinho
agora	ADV	0	4	8	0	assaltaram duas casas aqui na minha rua e agora eu to com medinho
eu	PRON	0	4	9	0	assaltaram duas casas aqui na minha rua e agora eu to com medinho
to	VERB	0	4	10	0	assaltaram duas casas aqui na minha rua e agora eu to com medinho
com	ADP	0	4	11	0	assaltaram duas casas aqui na minha rua e agora eu to com medinho
medinho	NOUN	1	4	12	0	assaltaram duas casas aqui na minha rua e agora eu to com medinho
3	['VERB', 'NUM', 'NOUN', 'ADV', 'ADP', 'DET', 'NOUN', 'CCONJ', 'ADV', 'PRON', 'VERB', 'ADP', 'NOUN']	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	4	3	1	assaltaram duas casas aqui na minha rua e agora eu to com medinho
sim	ADV	0	5	0	0	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
