Token	POS-Tag	OOV	Id	Index	Documento
essa	DET	0	2	19	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
maldade	NOUN	1	2	20	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
inves	VERB	0	2	21	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
de	SCONJ	0	2	22	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
ficar	VERB	0	2	23	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
na	ADP	0	2	24	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
praca	NOUN	1	2	25	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
de	ADP	0	2	26	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
alimentacao	NOUN	1	2	27	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
la	PROPN	0	2	28	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
nao	PROPN	1	2	29	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
tem	VERB	0	2	30	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
controle	NOUN	0	2	31	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
de	SCONJ	0	2	32	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
quem	PRON	0	2	33	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
vai	AUX	0	2	34	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
embarcar	VERB	1	2	35	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
ou	CCONJ	0	2	36	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
nao	PROPN	1	2	37	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
so	PROPN	0	2	38	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
vao	VERB	1	2	39	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
para	ADP	0	2	40	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
o	DET	0	2	41	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
acesso	NOUN	0	2	42	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
de	ADP	0	2	43	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
embarque	NOUN	1	2	44	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
uns	DET	0	2	45	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
15	NUM	0	2	46	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
min	NOUN	0	2	47	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
que	PRON	0	2	48	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
ja	PROPN	0	2	49	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
tera	VERB	0	2	50	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
fila	NOUN	1	2	51	na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
eu	PRON	0	3	0	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
espero	VERB	1	3	1	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
que	SCONJ	0	3	2	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
a	DET	0	3	3	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
policia	NOUN	1	3	4	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
esteja	AUX	0	3	5	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
treinada	ADJ	1	3	6	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
para	SCONJ	0	3	7	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
identificar	VERB	0	3	8	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
quando	ADV	0	3	9	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
a	DET	0	3	10	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
pessoa	NOUN	0	3	11	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
esta	PRON	0	3	12	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
realmente	ADV	0	3	13	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
armada	VERB	0	3	14	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
ou	CCONJ	0	3	15	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
nao	VERB	1	3	16	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
assim	ADV	0	3	17	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
como	SCONJ	0	3	18	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
tenha	VERB	0	3	19	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
meios	NOUN	0	3	20	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
de	ADP	0	3	21	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
defesa	NOUN	0	3	22	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
nao	NOUN	1	3	23	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
letais	ADJ	1	3	24	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
para	ADP	0	3	25	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
casos	NOUN	0	3	26	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
de	ADP	0	3	27	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
incidentes	NOUN	0	3	28	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
visto	VERB	0	3	29	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
que	SCONJ	0	3	30	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
nos	ADP	0	3	31	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
eua	PROPN	1	3	32	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
o	DET	0	3	33	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
numero	NOUN	1	3	34	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
de	ADP	0	3	35	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
pessoas	NOUN	0	3	36	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
com	ADP	0	3	37	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
problemas	NOUN	0	3	38	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
mentais	ADJ	0	3	39	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
em	ADP	0	3	40	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
situacao	NOUN	1	3	41	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
de	ADP	0	3	42	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
rua	NOUN	0	3	43	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
e	CCONJ	0	3	44	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
grande	ADJ	0	3	45	eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
assaltaram	VERB	1	4	0	assaltaram duas casas aqui na minha rua e agora eu to com medinho
duas	NUM	0	4	1	assaltaram duas casas aqui na minha rua e agora eu to com medinho
casas	NOUN	0	4	2	assaltaram duas casas aqui na minha rua e agora eu to com medinho
aqui	ADV	0	4	3	assaltaram duas casas aqui na minha rua e agora eu to com medinho
na	ADP	0	4	4	assaltaram duas casas aqui na minha rua e agora eu to com medinho
minha	DET	0	4	5	assaltaram duas casas aqui na minha rua e agora eu to com medinho
rua	NOUN	0	4	6	assaltaram duas casas aqui na minha rua e agora eu to com medinho
e	CCONJ	0	4	7	assaltaram duas casas aqui na minha rua e agora eu to com medinho
agora	ADV	0	4	8	assaltaram duas casas aqui na minha rua e agora eu to com medinho
eu	PRON	0	4	9	assaltaram duas casas aqui na minha rua e agora eu to com medinho
to	VERB	0	4	10	assaltaram duas casas aqui na minha rua e agora eu to com medinho
com	ADP	0	4	11	assaltaram duas casas aqui na minha rua e agora eu to com medinho
medinho	NOUN	1	4	12	assaltaram duas casas aqui na minha rua e agora eu to com medinho
sim	ADV	0	5	0	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
e	CCONJ	0	5	1	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
importante	ADJ	0	5	2	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
a	SCONJ	0	5	3	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
apuracao	NOUN	1	5	4	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
para	SCONJ	0	5	5	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
mostrar	VERB	0	5	6	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
que	SCONJ	0	5	7	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
foram	AUX	0	5	8	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
infiltrados	VERB	1	5	9	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
a	SCONJ	0	5	10	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
mando	VERB	0	5	11	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
para	SCONJ	0	5	12	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
fazer	VERB	0	5	13	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
estes	DET	0	5	14	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
atos	NOUN	0	5	15	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
e	CCONJ	0	5	16	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
jogar	VERB	0	5	17	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
nas	ADP	0	5	18	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
costas	NOUN	0	5	19	sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
