Sentença	Id	Index	Granularidade	Documento
uma vez no meio da avenida brasil pedi o blablacar pra rotear internet do nd ele disse desfaz a operacao tranquei o cool ele me levou escoltada pra delegacia em bangu dizendo que eu havia roubado ele pelo roteador ele so tava sem net e n carregou o saldo e queria me cobrar	6	0	0	uma vez no meio da avenida brasil pedi o blablacar pra rotear internet do nd ele disse desfaz a operacao tranquei o cool ele me levou escoltada pra delegacia em bangu dizendo que eu havia roubado ele pelo roteador ele so tava sem net e n carregou o saldo e queria me cobrar
5	6	-1	1	uma vez no meio da avenida brasil pedi o blablacar pra rotear internet do nd ele disse desfaz a operacao tranquei o cool ele me levou escoltada pra delegacia em bangu dizendo que eu havia roubado ele pelo roteador ele so tava sem net e n carregou o saldo e queria me cobrar
se a ariana nao soltar a data em 1 semana da primeira performance de yes and estarei saindo na rua cometendo crimes	7	0	0	se a ariana nao soltar a data em 1 semana da primeira performance de yes and estarei saindo na rua cometendo crimes
6	7	-1	1	se a ariana nao soltar a data em 1 semana da primeira performance de yes and estarei saindo na rua cometendo crimes
antes da pandemia fui em uma festa balaia la perto da galeria do rock na saida o seguranca tava escoltando ate a esquina pq quem passava sozinho era assaltado e espancado mesmo ja estando amanhecendo e pequeno detalhe na praca da republica tinham uns 20 policias fazendo nada	8	0	0	antes da pandemia fui em uma festa balaia la perto da galeria do rock na saida o seguranca tava escoltando ate a esquina pq quem passava sozinho era assaltado e espancado mesmo ja estando amanhecendo e pequeno detalhe na praca da republica tinham uns 20 policias fazendo nada
7	8	-1	1	antes da pandemia fui em uma festa balaia la perto da galeria do rock na saida o seguranca tava escoltando ate a esquina pq quem passava sozinho era assaltado e espancado mesmo ja estando amanhecendo e pequeno detalhe na praca da republica tinham uns 20 policias fazendo nada
um homem de 49 anos foi agredido na manha desta tercafeira 29 durante uma tentativa de roubo no centro de niteroi rj o crime ocorreu por volta das 9h na avenida ernani do amaral peixoto a policia agiu rapidamente e conseguiu conduzir o agressor a delegacia	9	0	0	um homem de 49 anos foi agredido na manha desta tercafeira 29 durante uma tentativa de roubo no centro de niteroi rj o crime ocorreu por volta das 9h na avenida ernani do amaral peixoto a policia agiu rapidamente e conseguiu conduzir o agressor a delegacia
8	9	-1	1	um homem de 49 anos foi agredido na manha desta tercafeira 29 durante uma tentativa de roubo no centro de niteroi rj o crime ocorreu por volta das 9h na avenida ernani do amaral peixoto a policia agiu rapidamente e conseguiu conduzir o agressor a delegacia
homem e morto dentro de casa e esposa baleada no bairro cassange dhpp investiga o crime	10	0	0	homem e morto dentro de casa e esposa baleada no bairro cassange dhpp investiga o crime
9	10	-1	1	homem e morto dentro de casa e esposa baleada no bairro cassange dhpp investiga o crime
ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao	11	0	0	ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao paulo brasilurgente bandjornalismo
paulo brasilurgente bandjornalismo	11	1	0	ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao paulo brasilurgente bandjornalismo
10	11	-1	1	ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao paulo brasilurgente bandjornalismo
butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf	12	0	0	butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf
11	12	-1	1	butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf
copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj	13	0	0	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
12	13	-1	1	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
na manha desse domingo	14	0	0	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em	14	1	0	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
13	14	-1	1	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente	15	0	0	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
14	15	-1	1	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
quase fui assaltada na praca da se com um gringo que me chamou pra tomar cafe cara kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk que terror	16	0	0	quase fui assaltada na praca da se com um gringo que me chamou pra tomar cafe cara kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk que terror
15	16	-1	1	quase fui assaltada na praca da se com um gringo que me chamou pra tomar cafe cara kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk que terror
mds furtaram um cachorro aqui no meu bairro	17	0	0	mds furtaram um cachorro aqui no meu bairro
16	17	-1	1	mds furtaram um cachorro aqui no meu bairro
videos mostram assaltos na praca de casa forte no recife g1	18	0	0	videos mostram assaltos na praca de casa forte no recife g1
17	18	-1	1	videos mostram assaltos na praca de casa forte no recife g1
e caso inusitado que voces querem a grama do canteiro central da principal avenida de passo fundo foi furtada na reportagem foto e video gauchazh	19	0	0	e caso inusitado que voces querem a grama do canteiro central da principal avenida de passo fundo foi furtada na reportagem foto e video gauchazh
18	19	-1	1	e caso inusitado que voces querem a grama do canteiro central da principal avenida de passo fundo foi furtada na reportagem foto e video gauchazh
segundo a policia militar dois assaltos foram registrados na cidade nesta segundafeira 3 um deles foi em uma loja de roupas na avenida brasil leia a noticia na integra	20	0	0	segundo a policia militar dois assaltos foram registrados na cidade nesta segundafeira 3 um deles foi em uma loja de roupas na avenida brasil leia a noticia na integra
19	20	-1	1	segundo a policia militar dois assaltos foram registrados na cidade nesta segundafeira 3 um deles foi em uma loja de roupas na avenida brasil leia a noticia na integra
uma briga de transito acabou na morte de walter gomes de azevedo de 38 anos na manha do dia 19 de setembro o incidente aconteceu na movimentada avenida filemon gomes perto da praia da leste em fortaleza ce quando walter foi mudar de pista aca	21	0	0	uma briga de transito acabou na morte de walter gomes de azevedo de 38 anos na manha do dia 19 de setembro o incidente aconteceu na movimentada avenida filemon gomes perto da praia da leste em fortaleza ce quando walter foi mudar de pista aca
20	21	-1	1	uma briga de transito acabou na morte de walter gomes de azevedo de 38 anos na manha do dia 19 de setembro o incidente aconteceu na movimentada avenida filemon gomes perto da praia da leste em fortaleza ce quando walter foi mudar de pista aca
por isso a normalizacao desses ataques em plena rua ninguem faz nada isso e um absurdo	22	0	0	por isso a normalizacao desses ataques em plena rua ninguem faz nada isso e um absurdo
21	22	-1	1	por isso a normalizacao desses ataques em plena rua ninguem faz nada isso e um absurdo
ataques violentos a escolas ja deixaram 6 mortos neste ano relembre os casos em abril um homem de 25 anos invadiu a creche cantinho do bom pastor no bairro velha e matou as quatro criancas diarioregional ataques escolas mortes	23	0	0	ataques violentos a escolas ja deixaram 6 mortos neste ano relembre os casos em abril um homem de 25 anos invadiu a creche cantinho do bom pastor no bairro velha e matou as quatro criancas diarioregional ataques escolas mortes
22	23	-1	1	ataques violentos a escolas ja deixaram 6 mortos neste ano relembre os casos em abril um homem de 25 anos invadiu a creche cantinho do bom pastor no bairro velha e matou as quatro criancas diarioregional ataques escolas mortes
policiais militares recuperam veiculo roubado na avenida brasil odia policia roubo	24	0	0	policiais militares recuperam veiculo roubado na avenida brasil odia policia roubo
23	24	-1	1	policiais militares recuperam veiculo roubado na avenida brasil odia policia roubo
clinica medica na avenida primeiro de maio e furtada leia mais	25	0	0	clinica medica na avenida primeiro de maio e furtada leia mais
24	25	-1	1	clinica medica na avenida primeiro de maio e furtada leia mais
nao aguento mais achar que vou ser assaltada nessa porcaria de bairro	26	0	0	nao aguento mais achar que vou ser assaltada nessa porcaria de bairro
25	26	-1	1	nao aguento mais achar que vou ser assaltada nessa porcaria de bairro
simfecharam um avenida e assaltaram ela todapincharam	27	0	0	simfecharam um avenida e assaltaram ela todapincharam
26	27	-1	1	simfecharam um avenida e assaltaram ela todapincharam
uba policia militar recupera veiculo furtado no bairro	28	0	0	uba policia militar recupera veiculo furtado no bairro sao domingos
sao domingos	28	1	0	uba policia militar recupera veiculo furtado no bairro sao domingos
27	28	-1	1	uba policia militar recupera veiculo furtado no bairro sao domingos
eptvoficial quanto aos furtos da avenida d pedro i nada muda se nao haverem boletins de ocorrencia sem dado nao ha porque haver mais policiamento	29	0	0	eptvoficial quanto aos furtos da avenida d pedro i nada muda se nao haverem boletins de ocorrencia sem dado nao ha porque haver mais policiamento
28	29	-1	1	eptvoficial quanto aos furtos da avenida d pedro i nada muda se nao haverem boletins de ocorrencia sem dado nao ha porque haver mais policiamento
nao a mecanica n tava sendo assaltada nem nada do genero so tavam arrumando a viatura mesmo e fizeram um show com direito a arma no meio da avenida kkkk imagina se atira sem querer em alguem e muita irresponsabilidade	30	0	0	nao a mecanica n tava sendo assaltada nem nada do genero so tavam arrumando a viatura mesmo e fizeram um show com direito a arma no meio da avenida kkkk imagina se atira sem querer em alguem e muita irresponsabilidade
29	30	-1	1	nao a mecanica n tava sendo assaltada nem nada do genero so tavam arrumando a viatura mesmo e fizeram um show com direito a arma no meio da avenida kkkk imagina se atira sem querer em alguem e muita irresponsabilidade
nao podemos nos calar a direita e muito maior no brasil	31	0	0	nao podemos nos calar a direita e muito maior no brasil o que falta e organizacao e coragem de enfrentar os ataques da esquerda vamos pra rua c toda forca justos somos mais fortes
o que falta e organizacao e coragem de enfrentar os ataques da esquerda vamos pra rua c toda forca justos somos mais fortes	31	1	0	nao podemos nos calar a direita e muito maior no brasil o que falta e organizacao e coragem de enfrentar os ataques da esquerda vamos pra rua c toda forca justos somos mais fortes
30	31	-1	1	nao podemos nos calar a direita e muito maior no brasil o que falta e organizacao e coragem de enfrentar os ataques da esquerda vamos pra rua c toda forca justos somos mais fortes
usar o incidente brancoamarelo como desculpa nem todos os gays sao como aqueles mano queria muito saber o que foi esse incidente olhei ao redor e vi que o burburinho da outra rua estava chegando a nos nisso uma moca que estava conversando com sua amiga no outro lado da	32	0	0	usar o incidente brancoamarelo como desculpa nem todos os gays sao como aqueles mano queria muito saber o que foi esse incidente olhei ao redor e vi que o burburinho da outra rua estava chegando a nos nisso uma moca que estava conversando com sua amiga no outro lado da
31	32	-1	1	usar o incidente brancoamarelo como desculpa nem todos os gays sao como aqueles mano queria muito saber o que foi esse incidente olhei ao redor e vi que o burburinho da outra rua estava chegando a nos nisso uma moca que estava conversando com sua amiga no outro lado da
fascista	33	0	0	fascista foram voces porque voces entraram no orgao publico destruiu que a praca dos tres poderes alguns roubaram armas no congresso nacional fez maior destruicao e agora estao querendo se defender voces tem que ir para cadeia cambada
foram voces porque voces entraram no orgao publico destruiu que a praca dos tres poderes alguns roubaram armas no congresso nacional fez maior destruicao e agora estao querendo se defender voces tem que ir para cadeia cambada	33	1	0	fascista foram voces porque voces entraram no orgao publico destruiu que a praca dos tres poderes alguns roubaram armas no congresso nacional fez maior destruicao e agora estao querendo se defender voces tem que ir para cadeia cambada
32	33	-1	1	fascista foram voces porque voces entraram no orgao publico destruiu que a praca dos tres poderes alguns roubaram armas no congresso nacional fez maior destruicao e agora estao querendo se defender voces tem que ir para cadeia cambada
tava mil amores com essa cidade ate q tive meu celular furtado as 15 hra da tarde numa praca pqp quanta humilhacao vei	34	0	0	tava mil amores com essa cidade ate q tive meu celular furtado as 15 hra da tarde numa praca pqp quanta humilhacao vei
33	34	-1	1	tava mil amores com essa cidade ate q tive meu celular furtado as 15 hra da tarde numa praca pqp quanta humilhacao vei
um velho do outro lado da avenida no ponto de onibus contrario ao meu mexendo comigo realmente tudo q eu pedi hoje era assedio	35	0	0	um velho do outro lado da avenida no ponto de onibus contrario ao meu mexendo comigo realmente tudo q eu pedi hoje era assedio a distancia
a distancia	35	1	0	um velho do outro lado da avenida no ponto de onibus contrario ao meu mexendo comigo realmente tudo q eu pedi hoje era assedio a distancia
34	35	-1	1	um velho do outro lado da avenida no ponto de onibus contrario ao meu mexendo comigo realmente tudo q eu pedi hoje era assedio a distancia
ja assaltaram o mercadinho do meu bairro as 1837 da tarde	36	0	0	ja assaltaram o mercadinho do meu bairro as 1837 da tarde
35	36	-1	1	ja assaltaram o mercadinho do meu bairro as 1837 da tarde
quinta passada umas 2h40min da manha tinha um maluco gritando que tava sendo assaltado na praca valdelino cecio olha a hora	37	0	0	quinta passada umas 2h40min da manha tinha um maluco gritando que tava sendo assaltado na praca valdelino cecio olha a hora po o cara mesmo se coloca numa situacao de risco
po o cara mesmo se coloca numa situacao de risco	37	1	0	quinta passada umas 2h40min da manha tinha um maluco gritando que tava sendo assaltado na praca valdelino cecio olha a hora po o cara mesmo se coloca numa situacao de risco
36	37	-1	1	quinta passada umas 2h40min da manha tinha um maluco gritando que tava sendo assaltado na praca valdelino cecio olha a hora po o cara mesmo se coloca numa situacao de risco
e o melhor remedio pra bandidos no servico publico deveria ser crime hediondo quantos confiaram e morreram nas filas e por ladrao de rua	38	0	0	e o melhor remedio pra bandidos no servico publico deveria ser crime hediondo quantos confiaram e morreram nas filas e por ladrao de rua
37	38	-1	1	e o melhor remedio pra bandidos no servico publico deveria ser crime hediondo quantos confiaram e morreram nas filas e por ladrao de rua
tino nos ajude kombi de trabalho de um senhor aqui da rua foi furtada essa madrugada na porta de casa balancogeralrj	39	0	0	tino nos ajude kombi de trabalho de um senhor aqui da rua foi furtada essa madrugada na porta de casa balancogeralrj
38	39	-1	1	tino nos ajude kombi de trabalho de um senhor aqui da rua foi furtada essa madrugada na porta de casa balancogeralrj
farmacia assaltada na avenida centenario perto da rodoviaria na tarde desta quinta bandido chegou de jaqueta preta e carregando um revolver cromado e levou todo o dinheiro do caixa a bandidagem segue acelerada em criciuma	40	0	0	farmacia assaltada na avenida centenario perto da rodoviaria na tarde desta quinta bandido chegou de jaqueta preta e carregando um revolver cromado e levou todo o dinheiro do caixa a bandidagem segue acelerada em criciuma
39	40	-1	1	farmacia assaltada na avenida centenario perto da rodoviaria na tarde desta quinta bandido chegou de jaqueta preta e carregando um revolver cromado e levou todo o dinheiro do caixa a bandidagem segue acelerada em criciuma
tbm moro em bairro denso mas arborizado e cboa qualidade de vidaa medida que foi densificando o transito aumentou mendigos e assaltos mais frequentes e apagoesagora esta sendo construido predio ao ladoq me tirou a vista e sol da tarde as maravilhas da densificacao	41	0	0	tbm moro em bairro denso mas arborizado e cboa qualidade de vidaa medida que foi densificando o transito aumentou mendigos e assaltos mais frequentes e apagoesagora esta sendo construido predio ao ladoq me tirou a vista e sol da tarde as maravilhas da densificacao
40	41	-1	1	tbm moro em bairro denso mas arborizado e cboa qualidade de vidaa medida que foi densificando o transito aumentou mendigos e assaltos mais frequentes e apagoesagora esta sendo construido predio ao ladoq me tirou a vista e sol da tarde as maravilhas da densificacao
policia prende acusado de cometer assaltos em marechal deodoro o homem de 22 anos e acusado de cometer varios assaltos na cidade de marechal deodoro e foi preso nesta tercafeira 28	42	0	0	policia prende acusado de cometer assaltos em marechal deodoro o homem de 22 anos e acusado de cometer varios assaltos na cidade de marechal deodoro e foi preso nesta tercafeira 28 proximo a praca da faculdade em maceio br104
proximo a praca da faculdade em maceio br104	42	1	0	policia prende acusado de cometer assaltos em marechal deodoro o homem de 22 anos e acusado de cometer varios assaltos na cidade de marechal deodoro e foi preso nesta tercafeira 28 proximo a praca da faculdade em maceio br104
41	42	-1	1	policia prende acusado de cometer assaltos em marechal deodoro o homem de 22 anos e acusado de cometer varios assaltos na cidade de marechal deodoro e foi preso nesta tercafeira 28 proximo a praca da faculdade em maceio br104
policia civil efetua prisao de homem de 42 anos morador do bairro liberdade em portao foragido por furto qualificado e roubo majorado dpportao	43	0	0	policia civil efetua prisao de homem de 42 anos morador do bairro liberdade em portao foragido por furto qualificado e roubo majorado dpportao
42	43	-1	1	policia civil efetua prisao de homem de 42 anos morador do bairro liberdade em portao foragido por furto qualificado e roubo majorado dpportao
maior esquema de roubo de terrenos patrocinado pelo pt na prefeitura o local servia de area verde para o bairro e drenagem de agua das chuvas depois destas casas feitas passou a encher de agua as casas vizinhas com as enxurradas enfia a erundina no seu toba	44	0	0	maior esquema de roubo de terrenos patrocinado pelo pt na prefeitura o local servia de area verde para o bairro e drenagem de agua das chuvas depois destas casas feitas passou a encher de agua as casas vizinhas com as enxurradas enfia a erundina no seu toba
43	44	-1	1	maior esquema de roubo de terrenos patrocinado pelo pt na prefeitura o local servia de area verde para o bairro e drenagem de agua das chuvas depois destas casas feitas passou a encher de agua as casas vizinhas com as enxurradas enfia a erundina no seu toba
cerca de 350 caminhoneiros participaram nesta segunda 15 de uma carreata na avenida brasil contra o roubo de cargas leia a materia completa	45	0	0	cerca de 350 caminhoneiros participaram nesta segunda 15 de uma carreata na avenida brasil contra o roubo de cargas leia a materia completa
44	45	-1	1	cerca de 350 caminhoneiros participaram nesta segunda 15 de uma carreata na avenida brasil contra o roubo de cargas leia a materia completa
quando da dor da conceicao rua luiz oliveira 157 bairro conceicao a eva foi assediada por uma especie da sua criacao e usando suas palavras a mais astuta de todas alimariase sabido ilustrissimo que esse animal tem o poder de hipnotizar as suas presas para depois dar o bote	46	0	0	quando da dor da conceicao rua luiz oliveira 157 bairro conceicao a eva foi assediada por uma especie da sua criacao e usando suas palavras a mais astuta de todas alimariase sabido ilustrissimo que esse animal tem o poder de hipnotizar as suas presas para depois dar o bote
45	46	-1	1	quando da dor da conceicao rua luiz oliveira 157 bairro conceicao a eva foi assediada por uma especie da sua criacao e usando suas palavras a mais astuta de todas alimariase sabido ilustrissimo que esse animal tem o poder de hipnotizar as suas presas para depois dar o bote
reporter da tv globo sofre tentativa de assalto ao vivo situacao aconteceu na avenida paulista em sao paulo durante o programa encontro saopaulo assalto tvglobo encontro patriciapoeta	47	0	0	reporter da tv globo sofre tentativa de assalto ao vivo situacao aconteceu na avenida paulista em sao paulo durante o programa encontro saopaulo assalto tvglobo encontro patriciapoeta saiba mais redetvuolcombrtvfamablo
saiba mais redetvuolcombrtvfamablo	47	1	0	reporter da tv globo sofre tentativa de assalto ao vivo situacao aconteceu na avenida paulista em sao paulo durante o programa encontro saopaulo assalto tvglobo encontro patriciapoeta saiba mais redetvuolcombrtvfamablo
46	47	-1	1	reporter da tv globo sofre tentativa de assalto ao vivo situacao aconteceu na avenida paulista em sao paulo durante o programa encontro saopaulo assalto tvglobo encontro patriciapoeta saiba mais redetvuolcombrtvfamablo
outro dia vi um verme maconhado roubado uma idosa na rua e agredindo a pobre mulher aposto q era petista	48	0	0	outro dia vi um verme maconhado roubado uma idosa na rua e agredindo a pobre mulher aposto q era petista
47	48	-1	1	outro dia vi um verme maconhado roubado uma idosa na rua e agredindo a pobre mulher aposto q era petista
eu estava o protegendo de provaveis furtos muitos celulares sao roubados na mesa da praca de alimentacao do minas	49	0	0	eu estava o protegendo de provaveis furtos muitos celulares sao roubados na mesa da praca de alimentacao do minas
48	49	-1	1	eu estava o protegendo de provaveis furtos muitos celulares sao roubados na mesa da praca de alimentacao do minas
prejuizo com furto de fiacao na praca das feiras em caxias e estimado em cerca de r 50 mil	50	0	0	prejuizo com furto de fiacao na praca das feiras em caxias e estimado em cerca de r 50 mil
49	50	-1	1	prejuizo com furto de fiacao na praca das feiras em caxias e estimado em cerca de r 50 mil
